registrationid,dtype,e_version,givenname,photo,farm_location_farmid,gender,referenceanimaltype_animaltype_e_id,referenceanimaltype_siretype_e_id,purpose,dateofacquisition,acquisitiontype,identifyingfeatures,rearingmode,insurancenumber,dateofbirth,birthcertificatenumber,veterinarycertificatenumber,ministryid,insurancecompany,feedinghabit,feedtype,feedbrand,supplements,antibiotics,veterinary,awards,notes,farm_animals_farmid
,RegisteredAnimal,,Justina,,1,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Reddi,,2,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Runana,,3,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Justice,,4,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Hellena,,5,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Karendi,,6,Female,,,Milk,,Birth,,Zero,,10.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,Jennifer,,7,Female,,,Milk,,Birth,,Grazing,,10.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
,RegisteredAnimal,,Junior,,8,Female,,,Milk,,Birth,,Zero,,10.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Jata,,9,Female,,,Milk,,Birth,,Zero,,10.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Kamburu,,10,Female,,,Milk,,Birth,,Zero,,10.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Amo 34,,11,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Rark,,12,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Scribe,,13,Female,,,Milk,,Birth,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Good Boy,,14,Female,,,Milk,,Birth,,Grazing,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Producing,,,,
,RegisteredAnimal,,Security,,15,Female,,,Milk,,Purchase,,Zero,,09.09.03,,,,,2xDay,"Grass, Suppliment",,,Dry,,,,
