Type,Date,Member Number,Class,Route,Amount,,
Credit Sale,01.07.2010,00029,Store Credit,R001,"6,075.00",,
Credit Sale,01.07.2010,00029,AIServices,,"1,500.00",,
Credit Sale,01.07.2010,00034,Store Credit,R003,"1,100.00",,
Credit Sale,01.07.2010,00044,Store Credit,R003,"5,680.00",,
Credit Sale,01.07.2010,00045,AIServices,,"1,500.00",,
Credit Sale,01.07.2010,00057,Store Credit,R006,"1,250.00",,
Credit Sale,01.07.2010,00060,Store Credit,R004,"1,770.00",,
Credit Sale,01.07.2010,00133,Store Credit,R004,"1,420.00",,
Credit Sale,01.07.2010,00228,Store Credit,R001,"10,950.00",,
Credit Sale,01.07.2010,00231,Store Credit,R005,488.00,,
Credit Sale,01.07.2010,00233,Store Credit,R009,"1,793.00",,
Credit Sale,01.07.2010,00236,Store Credit,R022,"1,450.00",,
Credit Sale,01.07.2010,00240,Store Credit,R004,"1,715.00",,
Credit Sale,01.07.2010,00266,Store Credit,R002,"1,100.00",,
Credit Sale,01.07.2010,00292,Store Credit,R002,"2,550.00",,
Credit Sale,01.07.2010,00298,Store Credit,R028,"1,458.00",,
Credit Sale,01.07.2010,00309,Store Credit,R019,"1,600.00",,
Credit Sale,01.07.2010,00314,Store Credit,R002,"4,320.00",,
Credit Sale,01.07.2010,00314,Store Credit,R002,488.00,,
Credit Sale,01.07.2010,00314,AIServices,,"1,500.00",,
Credit Sale,01.07.2010,00320,Store Credit,R028,"1,715.00",,
Credit Sale,01.07.2010,00339,Store Credit,R002,"3,600.00",,
Credit Sale,01.07.2010,00422,Store Credit,R004,"2,120.00",,
Credit Sale,01.07.2010,00428,Store Credit,R009,"7,250.00",,
Credit Sale,01.07.2010,00434,Store Credit,R004,"1,420.00",,
Credit Sale,01.07.2010,00441,Store Credit,R002,"1,950.00",,
Credit Sale,01.07.2010,00457,Store Credit,R019,830.00,,
Credit Sale,01.07.2010,00486,Store Credit,R020,"1,820.00",,
Credit Sale,01.07.2010,00511,Store Credit,R009,470.00,,
Credit Sale,01.07.2010,00579,Store Credit,R002,700.00,,
Credit Sale,01.07.2010,00609,Store Credit,R002,"1,450.00",,
Credit Sale,01.07.2010,00620,Store Credit,R019,"1,540.00",,
Credit Sale,01.07.2010,00630,Store Credit,R011,"2,713.00",,
Credit Sale,01.07.2010,00643,Store Credit,R002,"1,100.00",,
Credit Sale,01.07.2010,00650,Store Credit,R009,956.00,,
Credit Sale,01.07.2010,00655,Store Credit,R005,"2,390.00",,
Credit Sale,01.07.2010,00655,Store Credit,R005,120.00,,
Credit Sale,01.07.2010,00687,Store Credit,R017,"1,850.00",,
Credit Sale,01.07.2010,00710,Store Credit,R001,"9,740.00",,
Credit Sale,01.07.2010,00757,Store Credit,R002,"1,450.00",,
Credit Sale,01.07.2010,00766,Store Credit,R006,"1,545.00",,
Credit Sale,01.07.2010,00768,Store Credit,R022,"2,870.00",,
Credit Sale,01.07.2010,00778,Store Credit,R002,"2,350.00",,
Credit Sale,01.07.2010,00837,Store Credit,R019,"1,730.00",,
Credit Sale,01.07.2010,00861,Store Credit,R002,"1,600.00",,
Credit Sale,01.07.2010,00913,Store Credit,R002,"1,610.00",,
Credit Sale,01.07.2010,00934,Store Credit,R002,"1,450.00",,
Credit Sale,01.07.2010,00942,Store Credit,R005,"3,570.00",,
Credit Sale,01.07.2010,00995,Store Credit,R020,"1,250.00",,
Credit Sale,01.07.2010,01012,Store Credit,R028,"1,540.00",,
Credit Sale,01.07.2010,01022,Store Credit,R011,"1,100.00",,
