Member Number,Animal Type,Animal Name,Gender,D.o.B,Primary Breed,Purpose,Status (if Cow),Acquisition,farming Type,Feeding & Milking Habits,Feed Type,Photograph Ref.
00002,Cattle,Justina,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00005,Cattle,Reddi,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00009,Cattle,Runana,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00014,Cattle,Justice,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00022,Cattle,Hellena,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00024,Cattle,Karendi,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
00031,Cattle,Jennifer,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
00033,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00037,Cattle,Jata,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00050,Cattle,Kamburu,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00058,Cattle,Amo 34,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00059,Cattle,Rark,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00064,Cattle,Scribe,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00067,Cattle,Good Boy,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00075,Cattle,Security,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00077,Cattle,Mary,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00079,Cattle,Tharuni ,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
00089,Cattle,Rironi Kanini,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00091,Cattle,Duma,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00092,Cattle,Bater,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00097,Cattle,Motho,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00101,Cattle,Junior,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00102,Cattle,Kamandura,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00112,Cattle,Mwai,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00117,Cattle,Buster,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00118,Cattle,July,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00120,Cattle,Valentine,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00122,Cattle,Suzzana,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
00124,Cattle,Tintin,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
00125,Cattle,Champion,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00134,Cattle,Papaya,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00138,Cattle,Butter,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00143,Cattle,Galaher,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00161,Cattle,Gabriella,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00165,Cattle,Junior,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00168,Cattle,Kendi,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00175,Cattle,Mwai,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00176,Cattle,Buster,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
00180,Cattle,July,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
00182,Cattle,Valentine,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00183,Cattle,Suzzana,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00185,Cattle,Tintin,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00187,Cattle,Champion,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00199,Cattle,Papaya,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00202,Cattle,Butter,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00207,Cattle,Galaher,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00208,Cattle,Pamela,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
00209,Cattle,Justice,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
00213,Cattle,Tele,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00214,Cattle,Tomboy,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
00215,Cattle,Mischief,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
00218,Cattle,Jennifer,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00219,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00220,Cattle,Jata,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
00224,Cattle,Kamburu,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
