Type,Date,Member Number,Class,Amount
Credit Sale,7/1/10,00029,Store Credit,"6,075.00"
Credit Sale,7/1/10,00029,AIServices,"1,500.00"
Credit Sale,7/1/10,00034,Store Credit,"1,100.00"
Credit Sale,7/1/10,00044,Store Credit,"5,680.00"
Credit Sale,7/1/10,00045,AIServices,"1,500.00"
Credit Sale,7/1/10,00057,Store Credit,"1,250.00"
Credit Sale,7/1/10,00060,Store Credit,"1,770.00"
Credit Sale,7/1/10,00133,Store Credit,"1,420.00"
Credit Sale,7/1/10,00228,Store Credit,"10,950.00"
Credit Sale,7/1/10,00231,Store Credit,488.00
Credit Sale,7/1/10,00233,Store Credit,"1,793.00"
Credit Sale,7/1/10,00236,Store Credit,"1,450.00"
Credit Sale,7/1/10,00240,Store Credit,"1,715.00"
Credit Sale,7/1/10,00266,Store Credit,"1,100.00"
Credit Sale,7/1/10,00292,Store Credit,"2,550.00"
Credit Sale,7/1/10,00298,Store Credit,"1,458.00"
Credit Sale,7/1/10,00309,Store Credit,"1,600.00"
Credit Sale,7/1/10,00314,Store Credit,"4,320.00"
Credit Sale,7/1/10,00314,Store Credit,488.00
Credit Sale,7/1/10,00314,AIServices,"1,500.00"
Credit Sale,7/1/10,00320,Store Credit,"1,715.00"
Credit Sale,7/1/10,00339,Store Credit,"3,600.00"
Credit Sale,7/1/10,00422,Store Credit,"2,120.00"
Credit Sale,7/1/10,00428,Store Credit,"7,250.00"
Credit Sale,7/1/10,00434,Store Credit,"1,420.00"
Credit Sale,7/1/10,00441,Store Credit,"1,950.00"
Credit Sale,7/1/10,00457,Store Credit,830.00
Credit Sale,7/1/10,00486,Store Credit,"1,820.00"
Credit Sale,7/1/10,00511,Store Credit,470.00
Credit Sale,7/1/10,00579,Store Credit,700.00
Credit Sale,7/1/10,00609,Store Credit,"1,450.00"
Credit Sale,7/1/10,00620,Store Credit,"1,540.00"
Credit Sale,7/1/10,00630,Store Credit,"2,713.00"
Credit Sale,7/1/10,00643,Store Credit,"1,100.00"
