'1081','12','V03994','30','R001','2010-02-14 00:00','PM','Low Density',
'1082','12','V03994','20','R001','2010-02-15 00:00','AM','Low Density',
'1085','1','V05298','7','R011','2010-03-01 00:00','AM','Low Density',
'1086','2','V08966','6','R011','2010-03-01 00:00','AM','Low Density',
'1087','3','V00081','4','R002','2010-02-28 00:00','AM','Low Density',
'1088','3','V00264','4','R002','2010-02-28 00:00','AM','Low Density',
'1089','3','V00266','3','R002','2010-02-28 00:00','AM','Low Density',
'1090','3','V00305','5','R002','2010-02-28 00:00','AM','Low Density',
'1091','3','V00339','11','R002','2010-02-28 00:00','AM','Low Density',
'1092','3','V00344','3','R002','2010-02-28 00:00','AM','Low Density',
'1093','3','V00441','3','R002','2010-02-28 00:00','AM','Low Density',
'1094','3','V00548','3','R002','2010-02-28 00:00','AM','Low Density',
'1095','3','V00609','6','R002','2010-02-28 00:00','AM','Low Density',
'1096','3','V00622','7','R002','2010-02-28 00:00','AM','Low Density',
'1097','3','V00632','4','R002','2010-02-28 00:00','AM','Low Density',
'1098','3','V00716','4','R002','2010-02-28 00:00','AM','Low Density',
'1099','3','V00722','5','R002','2010-02-28 00:00','AM','Low Density',
'1100','3','V00748','2','R002','2010-02-28 00:00','AM','Low Density',
'1101','3','V00778','10','R002','2010-02-28 00:00','AM','Low Density',
'1102','3','V00861','4','R002','2010-02-28 00:00','AM','Low Density',
'1103','3','V00968','3','R002','2010-02-28 00:00','AM','Low Density',
'1104','3','V01018','21','R002','2010-02-28 00:00','AM','Low Density',
'1105','3','V01026','6','R002','2010-02-28 00:00','AM','Low Density',
'1106','3','V01069','4','R002','2010-02-28 00:00','AM','Low Density',
'1107','3','V01070','7','R002','2010-02-28 00:00','AM','Low Density',
'1108','3','V01082','2','R002','2010-02-28 00:00','AM','Low Density',
'1109','3','V01136','7','R002','2010-02-28 00:00','AM','Low Density',
